customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,earned_points,updated_loyalty_points
62,Diya,diya62@mail.com,Platinum,2139,2025-01-01,10,12048.94,14187.94
63,Nisha,nisha63@mail.com,Bronze,2831,2025-01-05,2,9963.705,12794.705
64,Aditya,aditya64@mail.com,Bronze,4723,2025-01-05,9,9638.75,14361.75
65,Rohan,rohan65@mail.com,Platinum,2983,2025-01-05,6,19928.480000000003,22911.480000000003
66,Diya,diya66@mail.com,Silver,5896,2025-01-03,7,5263.295,11159.295
67,Meera,meera67@mail.com,Silver,4541,2025-01-06,3,12820.465,17361.465
68,Ritika,ritika68@mail.com,SILVER,4662,2025-01-03,4,17359.825,22021.825
69,Nisha,nisha69@mail.com,Bronze,4751,2025-01-06,4,4217.52,8968.52
70,Siddharth,siddharth70@mail.com,Platinum,3876,2025-01-06,2,13596.74,17472.739999999998
71,Meera,meera71@mail.com,Silver,4222,2025-01-07,4,18246.975,22468.975
72,Meera,meera72@mail.com,Bronze,1840,2025-01-04,10,1733.97,3573.9700000000003
73,Anaya,anaya73@mail.com,Silver,3730,2025-01-06,7,5615.639999999999,9345.64
74,Tanya,tanya74@mail.com,SILVER,3273,2025-01-07,2,13573.65,16846.65
75,Nisha,nisha75@mail.com,Platinum,1792,2025-01-01,9,15606.495,17398.495000000003
76,Saanvi,saanvi76@mail.com,Gold,994,2025-01-05,10,0.0,994.0
77,Rahul,rahul77@mail.com,Gold,3625,2025-01-07,9,3471.23,7096.23
78,Kunal,kunal78@mail.com,Silver,1303,2025-01-02,5,3085.245,4388.245
79,Siddharth,siddharth79@mail.com,Bronze,3969,2025-01-03,4,7334.92,11303.92
80,Kabir,kabir80@mail.com,Silver,2751,2025-01-02,7,6227.639999999999,8978.64
81,Arjun,arjun81@mail.com,Silver,5786,2025-01-04,7,27940.31,33726.31
82,Vihaan,vihaan82@mail.com,Bronze,1694,2025-01-06,1,5061.16,6755.16
83,Aman,aman83@mail.com,Platinum,3116,2025-01-04,7,29596.35,32712.35
84,Pooja,pooja84@mail.com,Gold,4473,2025-01-03,7,4778.81,9251.810000000001
85,Tanya,tanya85@mail.com,Silver,237,2025-01-06,3,6365.2,6602.2
86,Kunal,kunal86@mail.com,Silver,1045,2025-01-05,10,21624.455,22669.455
87,Aarav,aarav87@mail.com,Bronze,687,2025-01-01,5,9097.53,9784.53
88,Aditya,aditya88@mail.com,Bronze,2681,2025-01-04,5,20438.72,23119.72
89,Nisha,nisha89@mail.com,Silver,2066,2025-01-01,6,23954.61,26020.61
90,Saanvi,saanvi90@mail.com,Platinum,5325,2025-01-01,4,11355.07,16680.07
91,Rohan,rohan91@mail.com,Bronze,166,2025-01-01,10,10043.49,10209.49
92,Rohan,rohan92@mail.com,Gold,3809,2025-01-05,2,17293.8,21102.8
93,Isha,isha93@mail.com,Bronze,2548,2025-01-06,7,7388.975,9936.975
94,Aditya,aditya94@mail.com,Silver,5857,2025-01-02,2,7767.655000000001,13624.655
95,Meera,meera95@mail.com,Bronze,5605,2025-01-07,1,9600.38,15205.38
96,Priya,priya96@mail.com,Bronze,4364,2025-01-03,1,17181.49,21545.49
97,Nisha,nisha97@mail.com,Platinum,4015,2025-01-07,8,0.0,4015.0
98,Arjun,arjun98@mail.com,Silver,3567,2025-01-05,9,8610.705,12177.705
99,Tanya,tanya99@mail.com,Gold,3808,2025-01-07,4,21045.89,24853.89
100,Anaya,anaya100@mail.com,Bronze,2284,2025-01-05,7,15075.19,17359.190000000002
101,Rahul,rahul101@mail.com,Bronze,235,2025-01-03,5,16176.05,16411.05
102,Rahul,rahul102@mail.com,Gold,2290,2025-01-01,9,7967.9,10257.9
103,Rohan,rohan103@mail.com,Silver,701,2025-01-02,8,11947.93,12648.93
104,Tanya,tanya104@mail.com,Bronze,3671,2025-01-06,4,22691.325,26362.325
105,Meera,meera105@mail.com,Silver,5439,2025-01-04,9,7241.405,12680.404999999999
106,Rahul,rahul106@mail.com,Bronze,2882,2025-01-01,4,7499.84,10381.84
107,Rahul,rahul107@mail.com,Platinum,979,2025-01-02,4,16610.98,17589.98
108,Tanya,tanya108@mail.com,Platinum,2265,2025-01-03,2,2367.275,4632.275
109,Rohan,rohan109@mail.com,BRONZE,2426,2025-01-05,3,10770.6,13196.6
110,Kabir,kabir110@mail.com,Silver,372,2025-01-02,8,13766.51,14138.51
111,Diya,diya111@mail.com,Silver,100,2025-01-02,1,18497.045000000002,18597.045000000002
112,Kabir,kabir112@mail.com,Bronze,3913,2025-01-05,1,14997.419999999998,18910.42
113,Arjun,arjun113@mail.com,Platinum,1222,2025-01-02,2,13465.93,14687.93
114,Pooja,pooja114@mail.com,Gold,3409,2025-01-05,7,36745.23,40154.23
115,Kunal,kunal115@mail.com,Silver,3626,2025-01-05,10,3556.5299999999997,7182.53
116,Vihaan,vihaan116@mail.com,Bronze,4994,2025-01-06,4,8255.615,13249.615
117,Kabir,kabir117@mail.com,Bronze,5410,2025-01-02,1,26867.29,32277.29
118,Nisha,nisha118@mail.com,Silver,3690,2025-01-03,5,8089.64,11779.64
119,Kunal,kunal119@mail.com,Platinum,583,2025-01-06,10,13361.115,13944.115
120,Rohan,rohan120@mail.com,Bronze,3482,2025-01-03,3,1246.425,4728.425
121,Anaya,anaya121@mail.com,Bronze,488,2025-01-05,5,7553.360000000001,8041.360000000001
122,Kunal,kunal122@mail.com,Bronze,1018,2025-01-03,9,21451.925,22469.925
123,Pooja,pooja123@mail.com,Silver,4045,2025-01-06,6,13966.494999999999,18011.495
124,Ritika,invalid_email,Bronze,2051,2025-01-07,10,16004.545,18055.545
125,Aman,aman125@mail.com,Silver,169,2025-01-01,3,6264.62,6433.62
126,Tanya,tanya126@mail.com,Platinum,4251,2025-01-05,7,4635.315,8886.314999999999
127,Tanya,tanya127@mail.com,Silver,747,2025-01-01,3,10446.51,11193.51
128,Rahul,rahul128@mail.com,Bronze,3372,2025-01-07,9,4619.110000000001,7991.110000000001
129,Vihaan,vihaan129@mail.com,Bronze,3725,2025-01-07,7,0.0,3725.0
130,Siddharth,siddharth130@mail.com,Silver,9,2025-01-02,9,14082.95,14091.95
131,Priya,priya131@mail.com,Silver,5100,2025-01-02,5,27883.065,32983.065
132,Pooja,pooja132@mail.com,Silver,1073,2025-01-01,1,13599.405,14672.405
133,Ritika,ritika133@mail.com,BRONZE,1960,2025-01-04,2,18136.445,20096.445
134,Saanvi,saanvi134@mail.com,Bronze,929,2025-01-04,5,17257.07,18186.07
135,Siddharth,siddharth135@mail.com,Gold,5778,2025-01-02,8,1840.295,7618.295
136,Pooja,pooja136@mail.com,Platinum,1184,2025-01-02,2,31370.395,32554.395
137,Kabir,kabir137@mail.com,Gold,3399,2025-01-01,5,4628.195,8027.195
138,Meera,meera138@mail.com,Silver,4808,2025-01-04,9,11075.545,15883.545
139,Tanya,tanya139@mail.com,Gold,2827,2025-01-03,4,10233.724999999999,13060.724999999999
140,Saanvi,saanvi140@mail.com,Gold,4684,2025-01-03,8,4634.59,9318.59
141,Aditya,aditya141@mail.com,Gold,3162,2025-01-02,8,9704.04,12866.04
142,Vihaan,vihaan142@mail.com,Silver,1034,2025-01-07,8,11268.105,12302.105
143,Diya,diya143@mail.com,Bronze,4308,2025-01-07,3,0.0,4308.0
144,Anaya,anaya144@mail.com,Bronze,3846,2025-01-04,2,26134.355,29980.355
145,Rahul,rahul145@mail.com,Bronze,5524,2025-01-06,8,9413.325,14937.325
146,Pooja,pooja146@mail.com,Bronze,294,2025-01-03,4,20141.445,20435.445
147,Anaya,anaya147@mail.com,Gold,3555,2025-01-01,8,1017.545,4572.545
148,Isha,isha148@mail.com,Bronze,5685,2025-01-01,5,-187.20000000000073,5497.799999999999
149,Priya,priya149@mail.com,Bronze,3070,2025-01-06,3,11790.595,14860.595
150,Isha,isha150@mail.com,Gold,1434,2025-01-02,8,15153.905,16587.905
151,Aman,aman151@mail.com,Silver,1172,2025-01-06,1,9421.89,10593.89
152,Kunal,kunal152@mail.com,Bronze,2356,2025-01-03,10,21727.635,24083.635
153,Meera,meera153@mail.com,Silver,5234,2025-01-03,4,12265.105,17499.105
154,Aditya,aditya154@mail.com,Bronze,3958,2025-01-03,5,5289.8,9247.8
155,Aarav,aarav155@mail.com,Bronze,5392,2025-01-07,1,20351.315,25743.315
156,Ritika,ritika156@mail.com,Platinum,4069,2025-01-02,10,4419.955,8488.955
157,Priya,priya157@mail.com,Silver,1794,2025-01-06,3,4878.225,6672.225
158,Diya,diya158@mail.com,Bronze,5140,2025-01-05,6,16262.78,21402.78
159,Arjun,arjun159@mail.com,Bronze,738,2025-01-02,3,12297.66,13035.66
160,Pooja,pooja160@mail.com,Platinum,2997,2025-01-03,8,18216.050000000003,21213.050000000003
161,Meera,meera161@mail.com,Silver,2774,2025-01-07,4,10078.78,12852.78
162,Aditya,aditya162@mail.com,GOLD,4565,2025-01-05,2,13034.065,17599.065000000002
163,Kunal,kunal163@mail.com,Silver,3019,2025-01-07,6,7262.985,10281.985
164,Diya,diya164@mail.com,Bronze,5528,2025-01-05,6,32609.190000000002,38137.19
165,Ritika,ritika165@mail.com,Silver,1813,2025-01-06,5,8106.845,9919.845000000001
166,Nisha,nisha166@mail.com,Platinum,955,2025-01-04,2,5900.889999999999,6855.889999999999
167,Diya,diya167@mail.com,Bronze,1923,2025-01-06,9,14739.31,16662.309999999998
168,Nisha,nisha168@mail.com,Bronze,4811,2025-01-01,8,17058.9,21869.9
169,Ritika,ritika169@mail.com,Bronze,3343,2025-01-02,8,19691.754999999997,23034.754999999997
170,Kunal,kunal170@mail.com,Bronze,1934,2025-01-05,6,5551.65,7485.65
171,Vihaan,vihaan171@mail.com,Platinum,3261,2025-01-07,8,6768.51,10029.51
172,Anaya,anaya172@mail.com,Silver,5429,2025-01-01,6,20164.09,25593.09
173,Saanvi,saanvi173@mail.com,Bronze,1031,2025-01-05,4,4073.005,5104.005
174,Aman,aman174@mail.com,Bronze,1769,2025-01-07,10,12409.99,14178.99
175,Aarav,aarav175@mail.com,Bronze,2271,2025-01-03,3,21421.33,23692.33
176,Diya,diya176@mail.com,Bronze,5415,2025-01-07,4,7027.375,12442.375
177,Aman,invalid_email,Bronze,-2652,2025-01-04,9,1154.39,-1497.61
178,Diya,diya178@mail.com,Gold,520,2025-01-01,8,15945.425,16465.425
179,Siddharth,siddharth179@mail.com,Bronze,1814,2025-01-07,9,5805.605,7619.605
180,Meera,meera180@mail.com,Bronze,3752,2025-01-07,7,9759.34,13511.34
181,Nisha,nisha181@mail.com,Gold,5620,2025-01-01,6,9042.455,14662.455
182,Ritika,ritika182@mail.com,Bronze,1215,2025-01-05,6,4808.52,6023.52
183,Aditya,aditya183@mail.com,Silver,4893,2025-01-01,2,1003.53,5896.53
184,Pooja,pooja184@mail.com,Silver,5905,2025-01-04,6,10580.515,16485.515
185,Kunal,kunal185@mail.com,Bronze,3266,2025-01-06,5,11335.43,14601.43
186,Priya,priya186@mail.com,Silver,1250,2025-01-01,2,0.0,1250.0
187,Nisha,nisha187@mail.com,Bronze,791,2025-01-01,10,5923.945,6714.945
188,Pooja,pooja188@mail.com,Bronze,4601,2025-01-06,7,6131.745,10732.744999999999
189,Vihaan,vihaan189@mail.com,Bronze,2356,2025-01-02,3,15421.195,17777.195
190,Tanya,tanya190@mail.com,Bronze,1837,2025-01-01,5,2788.075,4625.075
191,Aman,aman191@mail.com,Gold,1852,2025-01-07,10,0.0,1852.0
192,Ritika,ritika192@mail.com,Bronze,5529,2025-01-07,5,12862.740000000002,18391.74
193,Aarav,aarav193@mail.com,Gold,1477,2025-01-03,1,18965.295,20442.295
194,Isha,isha194@mail.com,Silver,1173,2025-01-06,1,22730.35,23903.35
195,Anaya,anaya195@mail.com,Silver,4345,2025-01-03,5,5135.075,9480.075
196,Rahul,rahul196@mail.com,Gold,4649,2025-01-07,10,13060.14,17709.14
197,Vihaan,vihaan197@mail.com,Silver,5521,2025-01-05,8,6067.83,11588.83
198,Nisha,nisha198@mail.com,Silver,2237,2025-01-01,5,5809.47,8046.47
199,Aman,aman199@mail.com,Bronze,3986,2025-01-05,1,15283.465,19269.465
200,Aarav,aarav200@mail.com,Bronze,1674,2025-01-03,5,4932.84,6606.84
201,Rahul,invalid_email,Gold,-982,2025-01-04,9,3760.17,2778.17
202,Saanvi,saanvi202@mail.com,Silver,4098,2025-01-04,1,12145.77,16243.77
203,Nisha,nisha203@mail.com,Bronze,153,2025-01-04,10,3997.55,4150.55
204,Aditya,aditya204@mail.com,Bronze,5812,2025-01-03,3,14161.765,19973.765
205,Ritika,ritika205@mail.com,Platinum,3769,2025-01-07,2,4428.44,8197.439999999999
206,Saanvi,saanvi206@mail.com,Silver,3569,2025-01-03,6,-4192.875,-623.875
207,Saanvi,saanvi207@mail.com,Bronze,2728,2025-01-05,9,7680.405,10408.404999999999
208,Rohan,rohan208@mail.com,Platinum,2862,2025-01-02,4,12502.48,15364.48
209,Diya,diya209@mail.com,Bronze,1199,2025-01-07,2,18762.71,19961.71
210,Isha,isha210@mail.com,Gold,5144,2025-01-04,10,11565.72,16709.72
211,Ritika,ritika211@mail.com,Silver,2647,2025-01-01,8,21149.925,23796.925
212,Kunal,kunal212@mail.com,Bronze,5172,2025-01-05,2,9784.2,14956.2
213,Meera,meera213@mail.com,Bronze,3782,2025-01-01,2,4309.2,8091.2
214,Ritika,ritika214@mail.com,Silver,4866,2025-01-07,1,4259.665,9125.665
215,Kunal,kunal215@mail.com,Bronze,4683,2025-01-02,1,26622.739999999998,31305.739999999998
216,Kunal,kunal216@mail.com,Gold,847,2025-01-01,9,25646.61,26493.61
217,Isha,isha217@mail.com,Silver,320,2025-01-05,10,6407.975,6727.975
218,Isha,isha218@mail.com,Bronze,2981,2025-01-03,10,12787.225,15768.225
219,Vihaan,vihaan219@mail.com,Bronze,5168,2025-01-06,7,12206.32,17374.32
220,Meera,meera220@mail.com,Silver,2064,2025-01-07,3,5004.195,7068.195
221,Rahul,rahul221@mail.com,Bronze,667,2025-01-06,7,10478.199999999999,11145.199999999999
222,Arjun,arjun222@mail.com,Bronze,4874,2025-01-06,6,5812.165,10686.165
223,Arjun,arjun223@mail.com,Platinum,5489,2025-01-05,2,9974.064999999999,15463.064999999999
224,Nisha,nisha224@mail.com,Bronze,4165,2025-01-02,6,5425.015,9590.015
225,Tanya,tanya225@mail.com,Bronze,1572,2025-01-07,2,8583.525,10155.525
226,Siddharth,siddharth226@mail.com,Gold,4421,2025-01-03,10,3828.86,8249.86
227,Arjun,arjun227@mail.com,Bronze,4892,2025-01-07,10,4078.645,8970.645
228,Isha,isha228@mail.com,Silver,5907,2025-01-02,8,10634.795,16541.795
229,Ritika,ritika229@mail.com,Gold,2334,2025-01-02,5,4992.815,7326.815
230,Tanya,tanya230@mail.com,Platinum,1589,2025-01-04,5,20852.485,22441.485
231,Aditya,aditya231@mail.com,Platinum,4119,2025-01-07,10,11451.195,15570.195
232,Arjun,arjun232@mail.com,Silver,2048,2025-01-01,9,14925.685000000001,16973.685
233,Diya,diya233@mail.com,Bronze,2335,2025-01-05,3,0.0,2335.0
234,Nisha,nisha234@mail.com,Bronze,751,2025-01-03,1,13069.175,13820.175
235,Nisha,nisha235@mail.com,Bronze,436,2025-01-01,6,0.0,436.0
236,Saanvi,saanvi236@mail.com,Bronze,230,2025-01-03,3,3288.545,3518.545
237,Arjun,arjun237@mail.com,Gold,313,2025-01-02,8,4034.785,4347.785
238,Kunal,invalid_email,Bronze,-5040,2025-01-07,3,11193.66,6153.66
239,Pooja,pooja239@mail.com,Silver,5957,2025-01-02,5,9996.904999999999,15953.904999999999
240,Diya,diya240@mail.com,Silver,391,2025-01-01,2,6261.8550000000005,6652.8550000000005
241,Tanya,tanya241@mail.com,Silver,4888,2025-01-06,3,9081.275,13969.275
242,Meera,invalid_email,Bronze,-3516,2025-01-02,2,16180.89,12664.89
243,Siddharth,siddharth243@mail.com,Silver,2954,2025-01-05,9,1923.21,4877.21
244,Aarav,aarav244@mail.com,Bronze,3198,2025-01-03,5,9875.420000000002,13073.420000000002
245,Aarav,aarav245@mail.com,Bronze,2925,2025-01-06,2,13308.905,16233.905
246,Aman,aman246@mail.com,Bronze,2723,2025-01-06,3,15036.435,17759.434999999998
247,Kunal,kunal247@mail.com,Bronze,5696,2025-01-06,8,24074.65,29770.65
248,Vihaan,vihaan248@mail.com,Gold,2403,2025-01-03,5,15020.25,17423.25
249,Siddharth,siddharth249@mail.com,Silver,3262,2025-01-07,4,21030.575,24292.575
250,Meera,meera250@mail.com,Bronze,2924,2025-01-03,2,5303.02,8227.02
251,Priya,priya251@mail.com,Gold,3579,2025-01-04,6,13916.795,17495.795
252,Isha,isha252@mail.com,Bronze,4064,2025-01-03,2,18828.085,22892.085
253,Nisha,nisha253@mail.com,Platinum,646,2025-01-03,6,5864.04,6510.04
254,Diya,diya254@mail.com,Bronze,655,2025-01-06,7,10544.92,11199.92
255,Isha,isha255@mail.com,Silver,5650,2025-01-03,10,15930.255000000001,21580.255
256,Nisha,nisha256@mail.com,Gold,2249,2025-01-06,7,13994.645,16243.645
257,Priya,priya257@mail.com,Silver,4203,2025-01-02,10,2486.38,6689.38
258,Kunal,kunal258@mail.com,Bronze,285,2025-01-03,7,12110.715,12395.715
259,Aman,aman259@mail.com,Silver,265,2025-01-03,8,0.0,265.0
260,Anaya,anaya260@mail.com,Bronze,4701,2025-01-03,4,846.405,5547.405
261,Diya,diya261@mail.com,Silver,212,2025-01-05,2,6203.924999999999,6415.924999999999
262,Kabir,kabir262@mail.com,Bronze,2132,2025-01-06,8,8122.09,10254.09
263,Rohan,rohan263@mail.com,Bronze,1004,2025-01-06,8,25510.355,26514.355
264,Anaya,anaya264@mail.com,Platinum,5586,2025-01-06,2,6059.365,11645.365
265,Pooja,pooja265@mail.com,Bronze,4441,2025-01-06,3,13296.904999999999,17737.905
266,Priya,priya266@mail.com,Platinum,4167,2025-01-02,8,16042.205,20209.205
267,Aarav,aarav267@mail.com,Bronze,2956,2025-01-05,3,17837.715,20793.715
268,Ritika,ritika268@mail.com,Bronze,706,2025-01-04,9,7626.945,8332.945
269,Nisha,nisha269@mail.com,Bronze,3354,2025-01-06,2,7137.6449999999995,10491.645
270,Kunal,kunal270@mail.com,Bronze,3816,2025-01-07,9,17357.455,21173.455
271,Aman,aman271@mail.com,Bronze,1490,2025-01-07,1,6376.639999999999,7866.639999999999
272,Diya,diya272@mail.com,Bronze,4244,2025-01-06,4,6442.475,10686.475
273,Priya,priya273@mail.com,Gold,4250,2025-01-06,9,7517.805,11767.805
274,Kabir,kabir274@mail.com,Silver,1025,2025-01-06,3,17572.83,18597.83
275,Aman,aman275@mail.com,Silver,4756,2025-01-05,6,10215.78,14971.78
276,Aman,aman276@mail.com,Bronze,337,2025-01-06,10,11695.86,12032.86
277,Kabir,kabir277@mail.com,Silver,5334,2025-01-01,8,7283.73,12617.73
278,Pooja,pooja278@mail.com,Bronze,2372,2025-01-07,7,11875.935000000001,14247.935000000001
279,Meera,meera279@mail.com,Bronze,3715,2025-01-04,8,14487.145,18202.145
280,Rohan,rohan280@mail.com,Bronze,2786,2025-01-06,6,1544.365,4330.365
281,Aditya,aditya281@mail.com,Silver,1071,2025-01-02,8,2347.05,3418.05
282,Diya,diya282@mail.com,Bronze,2191,2025-01-04,10,4007.62,6198.62
283,Nisha,nisha283@mail.com,Platinum,2033,2025-01-05,6,13725.465,15758.465
284,Rohan,rohan284@mail.com,Silver,1305,2025-01-03,8,11747.145,13052.145
285,Aarav,aarav285@mail.com,Silver,737,2025-01-02,10,7555.33,8292.33
286,Priya,priya286@mail.com,Silver,398,2025-01-06,8,22441.565,22839.565
287,Meera,invalid_email,Bronze,-4396,2025-01-03,6,11252.76,6856.76
288,Aditya,aditya288@mail.com,Bronze,2997,2025-01-03,9,13213.81,16210.81
289,Meera,meera289@mail.com,Silver,602,2025-01-07,10,5751.860000000001,6353.860000000001
290,Ritika,ritika290@mail.com,Bronze,973,2025-01-03,9,1247.5549999999998,2220.555
291,Priya,priya291@mail.com,Silver,1181,2025-01-01,1,6124.165,7305.165
292,Arjun,arjun292@mail.com,Silver,5845,2025-01-05,9,5752.210000000001,11597.210000000001
293,Arjun,arjun293@mail.com,Bronze,2686,2025-01-05,5,4313.86,6999.86
294,Aman,aman294@mail.com,Silver,2755,2025-01-05,5,7606.540000000001,10361.54
295,Tanya,tanya295@mail.com,Silver,136,2025-01-05,5,7033.295,7169.295
296,Aarav,aarav296@mail.com,Platinum,4889,2025-01-07,10,9729.23,14618.23
297,Aman,aman297@mail.com,Silver,1864,2025-01-06,10,16922.15,18786.15
298,Aditya,aditya298@mail.com,Bronze,1210,2025-01-06,2,12969.19,14179.19
299,Rohan,rohan299@mail.com,Silver,155,2025-01-02,7,3645.895,3800.895
300,Siddharth,siddharth300@mail.com,Gold,5009,2025-01-01,3,4708.185,9717.185000000001
301,Siddharth,siddharth301@mail.com,Platinum,1698,2025-01-04,6,8535.93,10233.93
302,Isha,isha302@mail.com,Bronze,3765,2025-01-07,5,5422.355,9187.355
303,Ritika,ritika303@mail.com,Bronze,3966,2025-01-02,5,23693.9,27659.9
304,Meera,meera304@mail.com,Gold,5774,2025-01-03,9,17779.68,23553.68
305,Kabir,kabir305@mail.com,Silver,2357,2025-01-04,6,7141.285,9498.285
306,Arjun,arjun306@mail.com,Platinum,2379,2025-01-04,5,19901.07,22280.07
307,Tanya,tanya307@mail.com,Silver,1752,2025-01-06,5,1829.7849999999999,3581.785
308,Arjun,arjun308@mail.com,Silver,894,2025-01-06,9,1363.79,2257.79
309,Saanvi,saanvi309@mail.com,Bronze,5226,2025-01-04,2,32782.285,38008.285
310,Arjun,arjun310@mail.com,Platinum,42,2025-01-06,8,9212.44,9254.44
311,Tanya,tanya311@mail.com,Platinum,5329,2025-01-06,1,2223.485,7552.485000000001
312,Anaya,anaya312@mail.com,Silver,5343,2025-01-01,3,7743.91,13086.91
313,Nisha,nisha313@mail.com,Bronze,1440,2025-01-07,8,16332.855,17772.855
314,Isha,isha314@mail.com,Bronze,2371,2025-01-01,6,6879.985,9250.985
315,Meera,meera315@mail.com,Silver,3722,2025-01-02,9,9228.735,12950.735
316,Kunal,kunal316@mail.com,Bronze,2235,2025-01-04,5,10381.04,12616.04
